#,Код КК,Наименование КК
1," 	1,001 ",Ветеринарный врач
2," 	1,002 ",Инженер-механизатор
3," 	1,003 ",Агроном
4," 	1,004 ",Эколог сельского хозяйства
5," 	1,005 ",Зоотехник
6," 	1,006 ",Инспектор сельского хозяйства
7," 	1,007 ",Эпизоотолог
8," 	1,008 ",Специалист по земельным ресурсам
9," 	1,009 ",Прочие инженеры сельского хозяйства
10," 	1,010 ",Инженер лесного хозяйства
11," 	1,011 ",Агрохимик-почвовед
12," 	1,012 ",Ихтиолог
13," 	1,101 ",Воспитатель
14," 	1,102 ",Учитель начальных классов
15," 	1,103 ",Учитель казахского языка и литературы
16," 	1,104 ",Учитель иностранного языка 
17," 	1,105 ",Учитель математики (алгебра и геометрия)
18," 	1,106 ",Учитель русского языка и литературы
19," 	1,107 ",Учитель физической культуры и спорта
20," 	1,108 ",Учитель истории
21," 	1,109 ",Учитель -методист
22," 	1,110 ",Учитель информатики
23," 	1,111 ",Педагог начальной школы
24," 	1,112 ",Учитель биологии
25," 	1,113 ",Учитель технологии
26," 	1,114 ",Учитель физики
27," 	1,115 ",Учитель географии
28," 	1,116 ",Учитель музыки
29," 	1,117 ",Учитель химии
30," 	1,118 ",Учитель-логопед
31," 	1,119 ",Учитель-дефектолог
32," 	1,120 ",Преподаватель вуза - искусство
33," 	1,121 ",Учитель средней школы (другие предметы)
34," 	1,122 ",Учитель музыкальной школы
35," 	1,123 ",Социальный педагог
36," 	1,124 ",Педагог-организатор
37," 	1,125 ",Преподаватель вуза - педагогика
38," 	1,126 ",Преподаватель колледжа - педагогика
39," 	1,127 ",Преподаватель колледжа -промышленность и производство
40," 	1,128 ",Преподаватель вуза (естественные науки)
41," 	1,129 ",Учитель самопознания 
42," 	1,130 ",Преподаватель вуза - (языки)
43," 	1,131 ",Преподаватель вуза - (медицина)
44," 	1,132 ",Преподаватель вуза - (гуманитарные науки)
45," 	1,133 ",Преподаватель языковой школы
46," 	1,134 ",Учитель изобразительного искусства
47," 	1,135 ",Преподаватель колледжа (медицина)
48," 	1,136 ",Преподаватель колледжа (языки)
49," 	1,137 ",Преподаватель по искусству и мастерству
50," 	1,138 ",Преподаватель колледжа -искусство
51," 	1,139 ",Преподаватель вуза -промышленность и производство
52," 	1,140 ",Преподаватель вуза - экономика и финансы
53," 	1,141 ",Преподаватель колледжа -естественные науки
54," 	1,142 ",Учитель иностранного языка начального образования
55," 	1,143 ",Преподаватель вуза -информатика и ИКТ
