Table 1
University,Specialty
ОВПО (Разработчик),Образовательная программа
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B01088(1) Химия-Биология
Карагандинский университет Казпотребсоюза,6B0108801 Физическая культура и спортивный менеджмент
Университет «Мирас»,6B01101 Педагогика и психология
Северо-Казахстанский университет им.М.Козыбаева,6B01101 Педагогика и психология
Казахский национальный университет им.аль-Фараби,6B01101 Педагогика и психология
Шымкентский университет,6B01101 Педагогика и психология
Университет имени Жумабека Ахметулы Ташенева,6B01101 Педагогика и психология
Международный Таразский инновационный институт имени Шерхана Муртазы,6B01101 Педагогика и психология
Кокшетауский университет имени Абая Мырзахметова,6B01101 Педагогика и психология
Атырауский университет имени Х.Досмухамедова,6B01101 Педагогика и психология
Центрально-Азиатский Инновационный Университет,6B01101 Педагогика и психология
Кызылординский университет имени Коркыт Ата,6B01101 Педагогика и психология
Университет имени Шакарима города Семей,6B01101 Педагогика и психология
Международный казахско-турецкий университет им.Х.А.Ясави,6B01101 Педагогика и психология
Карагандинский университет имени академика Е.А.Букетова,6B01101 Педагогика и психология
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B01101 Педагогика и психология
Западно-Казахстанский университет имени Махамбета Утемисова,6B01101 Педагогика и психология
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B01101 Педагогика и психология
Академия «Bolashaq»,6B01101 Педагогика и психология
Западно-Казахстанский инновационно-технологический университет,6B01101 Педагогика и психология
Международный университет Астана,6B01101 Педагогика и психология
Аркалыкский педагогический институт имени И.Алтынсарина,6B01101 Педагогика и психология
Алматинский гуманитарно-экономический университет,6B01101 Педагогика и психология
Alikhan Bokeikhan University,6B01101 Педагогика и психология
Казахский национальный женский педагогический университет,6B01101 Педагогика и психология
Костанайский социально-технический университет имени академика Зулкарнай Алдамжар,6B01101 Педагогика и психология
Казахский Национальный педагогический университет имени Абая,6B01101 Педагогика и психология
Восточно-Казахстанский университет имени Сарсена Аманжолова,6B01101 Педагогика и психология
Жетысуский университет имени Ильяса Жансугурова,6B01101 Педагогика и психология
Таразский  региональный университет имени М.Х.Дулати,6B01101 Педагогика и психология
Университет «Мирас»,6B01101 Педагогика и психология
Университет имени Сулеймана Демиреля,6B01101 Педагогика и психология
Кызылординский университет «Болашак»,6B01101 Педагогика и психология
Кокшетауский университет имени Ш. Уалиханова,6B01101 Педагогика и психология
Аркалыкский педагогический институт имени И.Алтынсарина,6B01102 Педагог дополнительного образования и вожатый
Карагандинский университет имени академика Е.А.Букетова,6B01102 Педагогика дополнительного образования
Кызылординский открытый университет,6B01102 Педагогика и психология
Евразийский гуманитарный институт имени А.К. Кусаинова,6B01102 Педагогика и психология
Атырауский университет имени Х.Досмухамедова,6B01102 Психология (IP)
Актюбинский региональный университет имени К.Жубанова,6B01102 Психология и менеджмент образования
Аркалыкский педагогический институт имени И.Алтынсарина,6B01103 (IP) Психология
Евразийский национальный университет им. Л.Н.Гумилева,6B01103 Педагогика и психология
Кокшетауский университет имени Ш. Уалиханова,6B01103 Психология (ІР)
Северо-Казахстанский университет им.М.Козыбаева,6B01103 Психология в образовании
Казахский Национальный педагогический университет имени Абая,6B01105 Педагогика и психология с полиязычием
Павлодарский педагогический университет имени Әлкея Марғұлана,6B01110 Педагогика и психология
Университет Дружбы народов имени академика А.Куатбекова,6B01110 Педагогика и психология
Южно-Казахстанский университет им. М.Ауэзова,6B01110 Педагогика и психология
Баишев Университет,6B01111 Педагогика и психология
Южно-Казахстанский университет им. М.Ауэзова,6B01111 Практическая психология
Южно-Казахстанский университет им. М.Ауэзова,6B01112 Психология и медиация
Евразийский национальный университет им. Л.Н.Гумилева,6B01201 Дошкольное  воспитание и обучение
Университет имени Сулеймана Демиреля,6B01201 Дошкольное воспитание и образование
Университет имени Жумабека Ахметулы Ташенева,6B01201 Дошкольное воспитание и обучение
Северо-Казахстанский университет им.М.Козыбаева,6B01201 Дошкольное обучение и воспитание
Казахский Национальный педагогический университет имени Абая,6B01201 Дошкольное обучение и воспитание
Международный Таразский инновационный институт имени Шерхана Муртазы,6B01201 Дошкольное обучение и воспитание
Аркалыкский педагогический институт имени И.Алтынсарина,6B01201 Дошкольное обучение и воспитание
Актюбинский региональный университет имени К.Жубанова,6B01201 Дошкольное обучение и воспитание
Центрально-Азиатский Инновационный Университет,6B01201 Дошкольное обучение и воспитание
Университет имени Шакарима города Семей,6B01201 Дошкольное обучение и воспитание
Карагандинский университет имени академика Е.А.Букетова,6B01201 Дошкольное обучение и воспитание
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B01201 Дошкольное обучение и воспитание
Западно-Казахстанский университет имени Махамбета Утемисова,6B01201 Дошкольное обучение и воспитание
Западно-Казахстанский инновационно-технологический университет,6B01201 Дошкольное обучение и воспитание
Международный университет Астана,6B01201 Дошкольное обучение и воспитание
Академия «Bolashaq»,6B01201 Дошкольное обучение и воспитание
Alikhan Bokeikhan University,6B01201 Дошкольное обучение и воспитание
Кокшетауский университет имени Ш. Уалиханова,6B01201 Дошкольное обучение и воспитание
Казахский национальный женский педагогический университет,6B01201 Дошкольное обучение и воспитание
Жезказганский университет им. О.А.Байконурова,6B01201 Дошкольное обучение и воспитание
Восточно-Казахстанский университет имени Сарсена Аманжолова,6B01201 Дошкольное обучение и воспитание
Кызылординский университет «Болашак»,6B01201 Дошкольное обучение и воспитание
Атырауский университет имени Х.Досмухамедова,6B01201 Педагог-воспитатель и методист дошкольного образования
Таразский  региональный университет имени М.Х.Дулати,6B01201 Подготовка специалистов дошкольного обучения и воспитания
Аркалыкский педагогический институт имени И.Алтынсарина,6B01202 Воспитатель дошкольного учреждения и педагог-психолог
Казахский национальный женский педагогический университет,
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B01202 Дошкольное образование (IP)
Атырауский университет имени Х.Досмухамедова,6B01202 Дошкольное образование (IP)
Кокшетауский университет имени Ш. Уалиханова,6B01202 Дошкольное образование (IP)
Кызылординский университет имени Коркыт Ата,6B01202 Дошкольное обучение и воспитание
Международный казахско-турецкий университет им.Х.А.Ясави,6B01202 Дошкольное обучение и воспитание
Кокшетауский университет имени Абая Мырзахметова,6B01202 Дошкольное обучение и воспитание
Кызылординский открытый университет,6B01202 Дошкольное обучение и воспитание
Международный Таразский инновационный институт имени Шерхана Муртазы,6B01202 Педагогика дошкольного воспитания и обучения
Западно-Казахстанский университет имени Махамбета Утемисова,6B01203 Дошкольное образование (IP)
Евразийский гуманитарный институт имени А.К. Кусаинова,6B01205 Дошкольное обучение и воспитание
Университет Дружбы народов имени академика А.Куатбекова,6B01210 Дошкольное обучение и воспитание
Павлодарский педагогический университет имени Әлкея Марғұлана,6B01210 Педагогика дошкольного воспитания и обучения
Южно-Казахстанский университет им. М.Ауэзова,6B01210 Педагогика дошкольного воспитания и обучения
Казахско-русский международный университет,6B01211 Дошкольное обучение и воспитание
Атырауский университет имени Х.Досмухамедова,6B01301 Педагог начального уровня образования
Северо-Казахстанский университет им.М.Козыбаева,6B01301 Педагогика и методика начального обучения
Университет имени Сулеймана Демиреля,6B01301 Педагогика и методика начального обучения
Шымкентский университет,6B01301 Педагогика и методика начального обучения
Университет имени Жумабека Ахметулы Ташенева,6B01301 Педагогика и методика начального обучения
Международный Таразский инновационный институт имени Шерхана Муртазы,6B01301 Педагогика и методика начального обучения
Аркалыкский педагогический институт имени И.Алтынсарина,6B01301 Педагогика и методика начального обучения
Центрально-Азиатский Инновационный Университет,6B01301 Педагогика и методика начального обучения
Университет имени Шакарима города Семей,6B01301 Педагогика и методика начального обучения
Карагандинский университет имени академика Е.А.Букетова,6B01301 Педагогика и методика начального обучения
Казахстанско-Американский свободный университет,6B01301 Педагогика и методика начального обучения
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B01301 Педагогика и методика начального обучения
Актюбинский региональный университет имени К.Жубанова,6B01301 Педагогика и методика начального обучения
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B01301 Педагогика и методика начального обучения
Алматинский гуманитарно-экономический университет,6B01301 Педагогика и методика начального обучения
Западно-Казахстанский университет имени Махамбета Утемисова,6B01301 Педагогика и методика начального обучения
Западно-Казахстанский инновационно-технологический университет,6B01301 Педагогика и методика начального обучения
Кокшетауский университет имени Ш. Уалиханова,6B01301 Педагогика и методика начального обучения
Казахский национальный женский педагогический университет,6B01301 Педагогика и методика начального обучения
Международный университет Астана,6B01301 Педагогика и методика начального обучения
Жезказганский университет им. О.А.Байконурова,6B01301 Педагогика и методика начального обучения
Академия «Bolashaq»,6B01301 Педагогика и методика начального обучения
Кызылординский открытый университет,6B01301 Педагогика и методика начального обучения
Восточно-Казахстанский университет имени Сарсена Аманжолова,6B01301 Педагогика и методика начального обучения
Таразский  региональный университет имени М.Х.Дулати,6B01301 Педагогика и методика начального обучения
Южно-Казахстанский педагогический университет имени Өзбекәлі Жәнібеков,6B01301 Подготовка учителя педагогики и методики начального обучения
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B01302 Начальное образование (IP)
Атырауский университет имени Х.Досмухамедова,6B01302 Начальное образование (IP)
Кокшетауский университет имени Ш. Уалиханова,6B01302 Начальное образование (IP)
Северо-Казахстанский университет им.М.Козыбаева,6B01302 Начальное образование и инклюзивная практика
Казахский Национальный педагогический университет имени Абая,6B01302 Начальное образование с бизнес инновациями
Alikhan Bokeikhan University,6B01302 Педагогика и методика начального обучения
Западно-Казахстанский университет имени Махамбета Утемисова,6B01303 Начальное образование (IP)
